ZONE,RESERVE,14,0
ZONE,RESERVE,14,1
ZONE,RESERVE,14,2
ZONE,RESERVE,14,3
ZONE,RESERVE,15,0
ZONE,RESERVE,15,1
ZONE,RESERVE,15,2
ZONE,RESERVE,15,3
ZONE,RESERVE,16,0
ZONE,RESERVE,16,1
ZONE,RESERVE,16,2
ZONE,RESERVE,16,3
ZONE,RESERVE,17,0
ZONE,RESERVE,17,1
ZONE,RESERVE,17,2
ZONE,RESERVE,17,3
ZONE,RESERVE,18,0
ZONE,RESERVE,18,1
ZONE,RESERVE,18,2
ZONE,RESERVE,18,3
ZONE,RESERVE,19,0
ZONE,RESERVE,19,1
ZONE,RESERVE,19,2
ZONE,RESERVE,19,3
ZONE,RESERVE,20,0
ZONE,RESERVE,20,1
ZONE,RESERVE,20,2
ZONE,RESERVE,20,3
ZONE,RESERVE,21,0
ZONE,RESERVE,21,1
ZONE,RESERVE,21,2
ZONE,RESERVE,21,3
ZONE,RESERVE,22,0
ZONE,RESERVE,22,1
ZONE,RESERVE,22,2
ZONE,RESERVE,22,3
ZONE,SALLE,14,10
ZONE,SALLE,14,11
ZONE,SALLE,14,12
ZONE,SALLE,14,13
ZONE,SALLE,14,14
ZONE,SALLE,14,15
ZONE,SALLE,14,16
ZONE,SALLE,14,17
ZONE,SALLE,14,18
ZONE,SALLE,14,19
ZONE,SALLE,15,10
ZONE,SALLE,15,11
ZONE,SALLE,15,12
ZONE,SALLE,15,13
ZONE,SALLE,15,14
ZONE,SALLE,15,15
ZONE,SALLE,15,16
ZONE,SALLE,15,17
ZONE,SALLE,15,18
ZONE,SALLE,15,19
ZONE,SALLE,16,10
ZONE,SALLE,16,11
ZONE,SALLE,16,12
ZONE,SALLE,16,13
ZONE,SALLE,16,14
ZONE,SALLE,16,15
ZONE,SALLE,16,16
ZONE,SALLE,16,17
ZONE,SALLE,16,18
ZONE,SALLE,16,19
ZONE,SALLE,17,10
ZONE,SALLE,17,11
ZONE,SALLE,17,12
ZONE,SALLE,17,13
ZONE,SALLE,17,14
ZONE,SALLE,17,15
ZONE,SALLE,17,16
ZONE,SALLE,17,17
ZONE,SALLE,17,18
ZONE,SALLE,17,19
ZONE,SALLE,18,10
ZONE,SALLE,18,11
ZONE,SALLE,18,12
ZONE,SALLE,18,13
ZONE,SALLE,18,14
ZONE,SALLE,18,15
ZONE,SALLE,18,16
ZONE,SALLE,18,17
ZONE,SALLE,18,18
ZONE,SALLE,18,19
ZONE,SALLE,19,10
